Instance,Policy,Seed,Status,Nnodes,Fair Nodes,Gap,Integral
lseu,tree,0,infeasible,341,343,0,8.136505869
lseu,tree,1,infeasible,324,324,0,7.05888056
lseu,tree,2,infeasible,213,213,0,4.563222105
lseu,tree,3,infeasible,320,320,0,5.785832128
lseu,tree,4,infeasible,227,227,0,5.383300547
misc03,tree,0,infeasible,1798,1798,0,91.81473084
misc03,tree,1,infeasible,1036,1036,0,94.64843365
misc03,tree,2,infeasible,1555,1555,0,105.5200405
misc03,tree,3,infeasible,459,459,0,54.78309271
misc03,tree,4,infeasible,1226,1230,0,75.69716046
neos20,tree,0,infeasible,1739,1739,0,183.9785584
neos20,tree,1,infeasible,1029,1029,0,46.64778216
neos20,tree,2,infeasible,1313,1313,0,156.938025
neos20,tree,3,infeasible,1338,1338,0,199.6134619
neos20,tree,4,infeasible,1057,1057,0,116.4819315
neos21,tree,0,infeasible,961,961,0,806.1235514
neos21,tree,1,infeasible,1050,1050,0,817.8932297
neos21,tree,2,infeasible,865,865,0,766.4164146
neos21,tree,3,infeasible,1071,1071,0,1241.914751
neos21,tree,4,infeasible,1054,1054,0,919.7400947
neos-476283,tree,0,infeasible,5285,5299,0,1879.923642
neos-476283,tree,1,infeasible,2931,2947,0,2746.349272
neos-476283,tree,2,infeasible,7239,7253,0,3527.853414
neos-476283,tree,3,infeasible,3597,3613,0,3049.539078
neos-476283,tree,4,infeasible,3245,3259,0,2829.057075
neos648910,tree,0,infeasible,11,11,0,22.5189
neos648910,tree,1,infeasible,83,83,0,42.41285
neos648910,tree,2,infeasible,67,67,0,34.84375
neos648910,tree,3,infeasible,183,183,0,70.014
neos648910,tree,4,infeasible,95,95,0,40.1006
pp08aCUTS,tree,0,infeasible,229,229,0,3.470828479
pp08aCUTS,tree,1,infeasible,256,256,0,5.759336081
pp08aCUTS,tree,2,infeasible,209,209,0,5.556860413
pp08aCUTS,tree,3,infeasible,231,231,0,4.747228361
pp08aCUTS,tree,4,infeasible,324,324,0,6.98346402
rmatr100-p10,tree,0,infeasible,1737,1737,0,1131.973653
rmatr100-p10,tree,1,infeasible,1773,1773,0,1442.500769
rmatr100-p10,tree,2,infeasible,1803,1803,0,1628.419402
rmatr100-p10,tree,3,infeasible,1307,1307,0,1529.906281
rmatr100-p10,tree,4,infeasible,1117,1117,0,1281.368459
rmatr100-p5,tree,0,infeasible,961,961,0,3139.336392
rmatr100-p5,tree,1,infeasible,1175,1175,0,3972.468273
rmatr100-p5,tree,2,infeasible,1417,1417,0,5080.887638
rmatr100-p5,tree,3,infeasible,2077,2077,0,7031.036893
